YYYYMMDD,HH,DD,FH,T,TD,SQ,Q,P,N,EUR
0.301,-1.0,-0.11111111111111116,0.09999999999999998,-0.54,-0.20999999999999996,-0.5,-1.0,0.0004999999999999449,-0.19999999999999996,7
0.301,-0.9166666666666666,-0.05555555555555558,0.19999999999999996,-0.54,-0.20999999999999996,-0.5,-1.0,0.0,-0.19999999999999996,7
0.301,-0.8333333333333334,0.5,0.19999999999999996,-0.85,-0.48,-0.5,-1.0,0.0007999999999999119,-0.19999999999999996,7
0.301,-0.75,0.4444444444444444,0.0,-0.88,-0.48,-0.5,-1.0,0.0017000000000000348,-0.19999999999999996,7
0.301,-0.6666666666666667,0.2777777777777777,-0.10000000000000003,-0.91,-0.52,-0.5,-1.0,0.0022999999999999687,-0.19999999999999996,7
0.301,-0.5833333333333333,0.16666666666666674,-0.10000000000000003,-0.97,-0.5700000000000001,-0.5,-1.0,0.0027999999999999137,-0.5,7
0.301,-0.5,0.05555555555555558,-0.10000000000000003,-1.06,-0.6799999999999999,-0.5,-0.98,0.0032000000000000917,-0.8,7
0.301,-0.41666666666666663,-0.05555555555555558,0.0,-0.95,-0.61,0.5,-0.6699999999999999,0.0029999999999998916,-1.0,8
0.301,-0.33333333333333337,0.05555555555555558,0.19999999999999996,-0.86,-0.5900000000000001,1.3,-0.16000000000000003,0.0031000000000001027,-0.5,8
0.301,-0.25,-0.05555555555555558,0.29999999999999993,-0.77,-0.62,0.5,-0.06999999999999995,0.0025999999999999357,-0.19999999999999996,8
0.301,-0.16666666666666663,-0.11111111111111116,0.4,-0.62,-0.6799999999999999,1.5,0.6299999999999999,0.0014000000000000679,-0.7,7
0.301,-0.08333333333333337,-0.05555555555555558,0.4,-0.55,-0.73,1.3,0.6599999999999999,0.00029999999999996696,-0.30000000000000004,7
0.301,0.0,-0.05555555555555558,0.5,-0.59,-0.8,-0.5,-0.6,0.00029999999999996696,-0.19999999999999996,7
0.301,0.08333333333333326,-0.05555555555555558,0.4,-0.59,-0.69,-0.3,-0.52,-0.00019999999999997797,-0.19999999999999996,7
0.301,0.16666666666666674,0.0,0.29999999999999993,-0.62,-0.5800000000000001,-0.5,-0.83,-0.00019999999999997797,-0.19999999999999996,7
0.301,0.25,-0.05555555555555558,0.29999999999999993,-0.54,-0.61,-0.5,-0.89,-0.00039999999999995595,-0.19999999999999996,7
0.301,0.33333333333333326,-0.11111111111111116,0.4,-0.54,-0.62,-0.5,-0.91,-0.0006000000000000449,-0.30000000000000004,7
0.301,0.41666666666666674,-0.11111111111111116,0.4,-0.6,-0.63,-0.5,-0.99,-0.00029999999999996696,-0.19999999999999996,8
0.301,0.5,-0.11111111111111116,0.19999999999999996,-0.58,-0.65,-0.5,-1.0,-0.0007000000000000339,-0.19999999999999996,8
0.301,0.5833333333333333,-0.16666666666666663,0.29999999999999993,-0.61,-0.71,-0.5,-1.0,-0.0014999999999999458,-0.19999999999999996,8
0.301,0.6666666666666667,-0.16666666666666663,0.19999999999999996,-0.6,-0.71,-0.5,-1.0,-0.0022999999999999687,-0.19999999999999996,8
0.301,0.75,-0.2222222222222222,0.19999999999999996,-0.57,-0.72,-0.5,-1.0,-0.0029000000000000137,-0.19999999999999996,7
0.301,0.8333333333333333,-0.16666666666666663,0.19999999999999996,-0.55,-0.6599999999999999,-0.5,-1.0,-0.0030999999999999917,-0.19999999999999996,7
0.301,0.9166666666666667,0.11111111111111116,0.19999999999999996,-0.86,-0.53,-0.5,-1.0,-0.0016000000000000458,-0.19999999999999996,7
0.302,-1.0,0.0,0.09999999999999998,-0.88,-0.53,-0.5,-1.0,-0.0016000000000000458,-0.19999999999999996,7
0.302,-0.9166666666666666,-0.11111111111111116,0.09999999999999998,-0.89,-0.56,-0.5,-1.0,-0.0013999999999999568,-0.19999999999999996,7
0.302,-0.8333333333333334,-0.05555555555555558,0.09999999999999998,-0.89,-0.5800000000000001,-0.5,-1.0,-0.0012999999999999678,-0.30000000000000004,7
0.302,-0.75,-0.11111111111111116,0.09999999999999998,-0.88,-0.6,-0.5,-1.0,-0.0010000000000000009,-0.19999999999999996,7
0.302,-0.6666666666666667,-0.11111111111111116,0.0,-0.89,-0.65,-0.5,-1.0,-0.0007000000000000339,-0.19999999999999996,6
